title,trailer_url,trailer_site,tmdb_id
'Til There Was You,https://www.youtube.com/embed/haQ3SOYIoi8,YouTube,32872
101 Dalmatians,https://www.youtube.com/embed/mom8X7zk7PE,YouTube,11674
12 Angry Men,https://www.youtube.com/embed/TEN-2uTi2c0,YouTube,389
2 Days in the Valley,https://www.youtube.com/embed/umjwm08s104,YouTube,9401
"20,000 Leagues Under the Sea",https://www.youtube.com/embed/BdHWQOhs1x4,YouTube,173
2001: A Space Odyssey,https://www.youtube.com/embed/kR2r-A9H3Kg,YouTube,62
"39 Steps, The",https://www.youtube.com/embed/EjPwRiJ1Yxw,YouTube,260
8 1/2,https://www.youtube.com/embed/yruJBocWfn4,YouTube,422
8 Heads in a Duffel Bag,https://www.youtube.com/embed/nDDpEBmlCew,YouTube,13982
8 Seconds,https://www.youtube.com/embed/qkbeR1WD1z0,YouTube,18069
Air Force One,https://www.youtube.com/embed/FItgZOuaPVY,YouTube,9772
Apt Pupil,https://www.youtube.com/embed/Nqe-VWnwACY,YouTube,9445
B. Monkey,https://www.youtube.com/embed/SLfl0RiOvEM,YouTube,2923
"Boot, Das",https://www.youtube.com/embed/r37MmBuFoc0,YouTube,387
Boys,https://www.youtube.com/embed/7zkoiOq2Urw,YouTube,43634
Braveheart,https://www.youtube.com/embed/nMft5QDOHek,YouTube,197
"Bridge on the River Kwai, The",https://www.youtube.com/embed/RlC7XBayj0s,YouTube,826
Butch Cassidy and the Sundance Kid,https://www.youtube.com/embed/YdJW2UxvSFQ,YouTube,642
Casablanca,https://www.youtube.com/embed/MF7JH_54d8c,YouTube,289
Chinatown,https://www.youtube.com/embed/RKdXf-fiBcw,YouTube,829
"Empire Strikes Back, The",https://www.youtube.com/embed/vU6L3jXt2r8,YouTube,1891
Fargo,https://www.youtube.com/embed/aoOZDiswNaw,YouTube,275
Gandhi,https://www.youtube.com/embed/vziq3CA_C30,YouTube,783
"Godfather, The",https://www.youtube.com/embed/Ew9ngL1GZvs,YouTube,238
"Godfather: Part II, The",https://www.youtube.com/embed/9O1Iy9od7-A,YouTube,240
"Great Escape, The",https://www.youtube.com/embed/8No6XGbvr0w,YouTube,5925
Heathers,https://www.youtube.com/embed/WE3_uwJC4NQ,YouTube,2640
Henry V,https://www.youtube.com/embed/tksPrKi5wUg,YouTube,10705
Lawrence of Arabia,https://www.youtube.com/embed/KR1yTI8zFJk,YouTube,947
Leaving Las Vegas,https://www.youtube.com/embed/PW_piBbb_lc,YouTube,451
M*A*S*H,https://www.youtube.com/embed/NJ6quIFtbXs,YouTube,651
"Pagemaster, The",https://www.youtube.com/embed/ZFDV5lsFOpk,YouTube,15139
"Princess Bride, The",https://www.youtube.com/embed/ltpgBg-duQE,YouTube,2493
Raiders of the Lost Ark,https://www.youtube.com/embed/0xQSIdSRlAk,YouTube,85
Ransom,https://www.youtube.com/embed/fIo43xs25DQ,YouTube,3595
Return of the Jedi,https://www.youtube.com/embed/MAW1E3JIQZE,YouTube,1892
Schindler's List,https://www.youtube.com/embed/v0RB-3sWbBA,YouTube,424
"Shawshank Redemption, The",https://www.youtube.com/embed/PLl99DlL6b4,YouTube,278
"Silence of the Lambs, The",https://www.youtube.com/embed/6iB21hsprAQ,YouTube,274
Sleeper,https://www.youtube.com/embed/PcaXIWYDo-4,YouTube,11561
Sleepers,https://www.youtube.com/embed/rNaMAgf4ErE,YouTube,819
Sphere,https://www.youtube.com/embed/REFrh4OJ8a0,YouTube,10153
Star Wars,https://www.youtube.com/embed/vZ734NWnAHA,YouTube,11
Titanic,https://www.youtube.com/embed/wO44qBPBG4c,YouTube,597
To Kill a Mockingbird,https://www.youtube.com/embed/4-CrrtYjrbM,YouTube,595
Toy Story,https://www.youtube.com/embed/CxwTLktovTU,YouTube,862
"Usual Suspects, The",https://www.youtube.com/embed/jM3jrHGAsIE,YouTube,629
